id,patient_id,ccnum,cctype,ccexpmonth,ccexpyear,address1,address2,city,state,zip
96,96,6.77E+15,solo,12,2020,414 Gale Street, ,New York City,NY,10203
97,97,5.00E+15,mastercard,2,2022,1 Fremont Center, ,Missoula,MT,59806
98,98,4.91E+15,switch,8,2027,37 Roxbury Circle, ,Chicago,IL,60636
99,99,3.58E+15,jcb,3,2028,5066 Macpherson Street, ,Boston,MA,2216
100,100,5.10E+15,mastercard,12,2022,290 Spaight Junction, ,Ogden,UT,84403
101,101,3.56E+15,jcb,1,2027,13 Melvin Avenue, ,Visalia,CA,93291
102,102,5.60E+15,bankcard,1,2029,5429 Oak Way, ,Reno,NV,89519
103,103,3.59E+15,jcb,3,2025,92 Park Meadow Plaza, ,Phoenix,AZ,85030
104,104,3.56E+15,jcb,2,2029,9 Northwestern Center, ,Tucson,AZ,85705
105,105,3.55E+15,jcb,11,2028,524 Fair Oaks Junction, ,Fort Lauderdale,FL,33355
106,106,3.75E+14,americanexpress,5,2026,8 Summerview Street, ,Honolulu,HI,96845
107,107,5.10E+15,mastercard,7,2026,9 Talmadge Alley, ,Houston,TX,77040
108,108,3.55E+15,jcb,8,2025,4 Carioca Road, ,Erie,PA,16534
109,109,3.54E+15,jcb,12,2028,0120 Sherman Trail, ,Arlington,VA,22212
110,110,3.75E+14,americanexpress,7,2021,1 Miller Trail, ,Tampa,FL,33615
111,111,3.57E+15,jcb,7,2026,3 Mcguire Junction, ,Cumming,GA,30130
112,112,4.91E+15,visa-electron,3,2024,16 Ridgeway Street, ,Tallahassee,FL,32399
113,113,6.05E+15,maestro,2,2020,7 Declaration Parkway, ,New Orleans,LA,70142
114,114,4.51E+15,visa-electron,4,2022,95397 Grim Alley, ,Bonita Springs,FL,34135
115,115,5.05E+15,mastercard,10,2022,91 Dexter Alley, ,New Orleans,LA,70160
116,116,3.72E+14,americanexpress,1,2023,415 Maryland Pass, ,Richmond,VA,23293
117,117,5.00E+15,mastercard,5,2020,2 Mcbride Street, ,Boise,ID,83727
118,118,5.64E+18,switch,8,2027,1 Kropf Parkway, ,Evanston,IL,60208
119,119,3.57E+15,jcb,1,2023,824 Little Fleur Avenue, ,Oakland,CA,94627
120,120,3.58E+15,jcb,11,2026,3452 Browning Avenue, ,Clearwater,FL,33758
121,121,3.68E+13,diners-club-international,12,2022,0326 Weeping Birch Terrace, ,Marietta,GA,30061
122,122,3.04E+13,diners-club-carte-blanche,8,2025,4 Clarendon Road, ,Tacoma,WA,98447
123,123,4.84E+15,visa-electron,12,2023,1 La Follette Terrace, ,Austin,TX,78744
124,124,3.56E+15,jcb,3,2021,82 Sutherland Park, ,Naperville,IL,60567
125,125,4.94E+15,switch,10,2027,95828 Heath Place, ,Fresno,CA,93721
126,126,5.61E+15,bankcard,10,2023,7690 Johnson Circle, ,Kansas City,MO,64142
127,127,3.59E+15,jcb,9,2024,9390 Moland Lane, ,Tucson,AZ,85720
128,128,6.37E+15,instapayment,6,2021,69 Mcbride Road, ,Louisville,KY,40293
129,129,3.04E+13,diners-club-carte-blanche,9,2029,22011 Morrow Park, ,Washington,DC,20599
130,130,5.61E+16,china-unionpay,9,2030,1645 Rutledge Park, ,Houston,TX,77293
131,131,5.56E+15,diners-club-us-ca,4,2026,3983 Monterey Trail, ,Arlington,VA,22205
132,132,3.59E+15,jcb,12,2021,39391 Hovde Drive, ,New York City,NY,10110
133,133,5.01E+15,mastercard,8,2024,92961 Hoffman Crossing, ,Washington,DC,56944
134,134,4.02E+12,visa,11,2027,1 Sachs Court, ,Montgomery,AL,36109
135,135,3.58E+15,jcb,8,2023,004 Grasskamp Center, ,Monroe,LA,71213
136,136,3.57E+15,jcb,7,2020,7 Paget Pass, ,Bakersfield,CA,93305
137,137,4.41E+15,visa-electron,3,2027,2 Cambridge Center, ,Jackson,MS,39282
138,138,4.90E+15,switch,5,2030,26 Forest Run Junction, ,Midland,MI,48670
139,139,3.54E+15,jcb,2,2028,9397 Clyde Gallagher Plaza, ,Boise,ID,83716
140,140,3.56E+15,jcb,4,2022,4012 Shoshone Trail, ,Springfield,MA,1152
141,141,3.55E+15,jcb,5,2025,11935 Fuller Junction, ,Lynn,MA,1905
142,142,3.56E+15,jcb,3,2030,751 Bonner Avenue, ,Stamford,CT,6905
143,143,3.53E+15,jcb,1,2025,649 Killdeer Center, ,Huntington,WV,25709
144,144,3.55E+15,jcb,7,2027,5 Emmet Pass, ,Hyattsville,MD,20784
145,145,6.38E+15,instapayment,11,2021,9301 Mallard Court, ,Wichita Falls,TX,76310
146,146,3.75E+14,americanexpress,4,2022,527 Lawn Center, ,Hartford,CT,6105
147,147,4.41E+15,visa-electron,5,2025,38 Milwaukee Junction, ,Tyler,TX,75710
148,148,4.84E+15,visa-electron,3,2020,58 Johnson Circle, ,Arvada,CO,80005
149,149,3.58E+15,jcb,9,2025,15121 Hansons Drive, ,Austin,TX,78754
150,150,3.54E+15,jcb,6,2029,921 Mayer Point, ,Lynchburg,VA,24515
151,151,3.57E+15,jcb,2,2027,1 La Follette Place, ,San Antonio,TX,78265
152,152,6.04E+15,maestro,12,2028,97880 Harbort Terrace, ,Duluth,MN,55811
153,153,4.02E+15,visa,3,2024,1 Tennessee Terrace, ,Minneapolis,MN,55412
154,154,5.61E+16,china-unionpay,2,2029,313 Ridge Oak Drive, ,Charlottesville,VA,22903
155,155,3.58E+15,jcb,5,2028,28948 Portage Trail, ,Toledo,OH,43635
156,156,3.58E+15,jcb,10,2026,62243 Wayridge Way, ,Jacksonville,FL,32255
157,157,3.57E+15,jcb,12,2030,72 Bashford Crossing, ,Chattanooga,TN,37410
158,158,5.10E+15,mastercard,3,2026,39 Comanche Street, ,Los Angeles,CA,90005
159,159,3.55E+15,jcb,11,2020,2633 Buhler Lane, ,Detroit,MI,48224
160,160,5.57E+15,diners-club-us-ca,2,2021,9420 John Wall Parkway, ,Baton Rouge,LA,70820
161,161,3.72E+14,americanexpress,10,2024,21 Lighthouse Bay Court, ,Sunnyvale,CA,94089
162,162,5.60E+18,china-unionpay,3,2020,0 Anderson Crossing, ,Macon,GA,31205
163,163,3.59E+15,jcb,6,2021,6 Grover Terrace, ,Omaha,NE,68134
164,164,4.91E+17,switch,6,2024,157 Pawling Crossing, ,Orange,CA,92668
165,165,3.54E+15,jcb,4,2030,5409 Norway Maple Way, ,Oklahoma City,OK,73124
166,166,5.60E+15,bankcard,4,2030,13895 Bartelt Plaza, ,Portland,OR,97271
167,167,3.53E+15,jcb,3,2030,62 Hoard Crossing, ,Loretto,MN,55598
168,168,3.58E+15,jcb,6,2029,46342 Bashford Road, ,Young America,MN,55551
169,169,3.55E+15,jcb,9,2030,29789 Hansons Alley, ,Indianapolis,IN,46231
170,170,6.76E+15,maestro,7,2026,13 Mallard Lane, ,Hamilton,OH,45020
171,171,3.74E+14,americanexpress,8,2027,28 Service Avenue, ,Fort Myers,FL,33913
172,172,3.04E+13,diners-club-carte-blanche,10,2021,65 Moose Drive, ,Ann Arbor,MI,48107
173,173,5.31E+15,mastercard,7,2023,0 Charing Cross Avenue, ,Seminole,FL,34642
174,174,5.60E+15,china-unionpay,2,2030,23449 Maple Point, ,Amarillo,TX,79118
175,175,6.77E+15,laser,10,2029,419 Evergreen Drive, ,Corona,CA,92878
176,176,3.59E+15,jcb,1,2028,207 Briar Crest Court, ,Bloomington,IL,61709
177,177,5.16E+15,mastercard,12,2028,3147 Tennessee Terrace, ,Washington,DC,20057
178,178,5.10E+15,mastercard,9,2025,11 Moose Lane, ,Birmingham,AL,35231
179,179,6.40E+15,instapayment,6,2030,76063 Morrow Junction, ,Philadelphia,PA,19160
180,180,3.58E+15,jcb,11,2023,48228 Dwight Circle, ,Orlando,FL,32835
181,181,4.03E+15,visa-electron,12,2020,09 Cascade Street, ,Louisville,KY,40293
182,182,3.67E+13,diners-club-international,10,2022,2 Johnson Alley, ,Minneapolis,MN,55412
183,183,5.00E+15,mastercard,1,2020,864 Twin Pines Hill, ,Las Cruces,NM,88006
184,184,2.02E+14,diners-club-enroute,3,2020,4 Hermina Point, ,Charlotte,NC,28263
185,185,3.53E+15,jcb,2,2021,6248 Packers Way, ,Kansas City,KS,66160
186,186,4.18E+15,visa-electron,12,2024,73 Cascade Alley, ,Migrate,KY,41905
187,187,5.44E+15,mastercard,8,2026,628 Johnson Plaza, ,Lynchburg,VA,24503
188,188,3.59E+15,jcb,4,2024,00 Sunbrook Center, ,Boston,MA,2104
189,189,4.51E+15,visa-electron,2,2030,228 Nelson Center, ,Omaha,NE,68124
190,190,6.77E+16,laser,12,2023,657 Everett Road, ,Stockton,CA,95210
191,191,3.54E+15,jcb,1,2020,6155 Algoma Trail, ,Cincinnati,OH,45223
192,192,4.91E+15,visa-electron,10,2029,6 Scoville Parkway, ,Charlotte,NC,28299
193,193,6.76E+15,maestro,9,2025,7 Clemons Point, ,Palo Alto,CA,94302
194,194,5.60E+15,bankcard,6,2027,0 Park Meadow Trail, ,Stockton,CA,95205
195,195,4.68E+15,visa,10,2020,9908 Jenifer Place, ,Erie,PA,16565
196,196,4.92E+15,visa-electron,12,2024,023 Shelley Point, ,Littleton,CO,80126
197,197,3.59E+15,jcb,2,2027,69554 Thackeray Terrace, ,Los Angeles,CA,90065
198,198,6.39E+15,instapayment,8,2023,46 Randy Way, ,Buffalo,NY,14269
199,199,5.01E+15,mastercard,1,2030,4 Atwood Crossing, ,Spartanburg,SC,29319
200,200,6.76E+16,maestro,5,2021,53630 Michigan Drive, ,Madison,WI,53705
201,201,4.04E+12,visa,10,2027,8148 Welch Crossing, ,El Paso,TX,88514
202,202,6.33E+18,switch,11,2021,4 Vidon Alley, ,Houston,TX,77050
203,203,3.58E+15,jcb,6,2027,986 Village Green Lane, ,Petaluma,CA,94975
204,204,6.77E+18,laser,3,2026,9 Green Ridge Street, ,Van Nuys,CA,91406
205,205,4.02E+15,visa,8,2024,56 Mockingbird Drive, ,Terre Haute,IN,47805
206,206,2.01E+14,diners-club-enroute,10,2021,4 Thackeray Crossing, ,Saint Louis,MO,63104
207,207,3.58E+15,jcb,12,2020,38603 Bartillon Pass, ,Honolulu,HI,96845
208,208,6.30E+16,laser,12,2020,560 Susan Lane, ,Chandler,AZ,85246
209,209,3.03E+13,diners-club-carte-blanche,3,2021,3 Clyde Gallagher Lane, ,Detroit,MI,48224
210,210,6.76E+15,maestro,12,2029,71 Farwell Trail, ,Bronx,NY,10469
211,211,6.05E+16,maestro,8,2029,8 Eggendart Parkway, ,Portsmouth,NH,3804
212,212,2.01E+14,diners-club-enroute,9,2030,44 Michigan Park, ,El Paso,TX,79923
213,213,3.54E+15,jcb,9,2028,07 Namekagon Trail, ,Dallas,TX,75265
214,214,3.41E+14,americanexpress,6,2020,648 Drewry Park, ,Anderson,IN,46015
215,215,3.04E+13,diners-club-carte-blanche,8,2027,8763 Vermont Trail, ,Boston,MA,2298
216,216,5.02E+16,maestro,2,2021,19089 Mayer Center, ,Washington,DC,20238
217,217,4.92E+15,visa-electron,1,2027,1 Pankratz Terrace, ,Providence,RI,2905
218,218,6.33E+15,switch,4,2030,41511 New Castle Alley, ,Greenville,SC,29615
219,219,4.94E+18,switch,8,2020,80163 Stoughton Park, ,Greensboro,NC,27425
220,220,3.55E+15,jcb,7,2028,4236 Weeping Birch Junction, ,Atlanta,GA,30368
221,221,3.55E+15,jcb,2,2023,92 Beilfuss Court, ,San Francisco,CA,94147
222,222,5.60E+15,bankcard,2,2027,01631 Coolidge Junction, ,Des Moines,IA,50347
223,223,5.60E+15,bankcard,12,2021,0 Bluestem Way, ,Seattle,WA,98127
224,224,3.54E+15,jcb,5,2030,8 Goodland Circle, ,Reno,NV,89510
225,225,3.53E+15,jcb,10,2025,15762 Buell Point, ,Saint Paul,MN,55172
226,226,3.01E+13,diners-club-carte-blanche,3,2020,3026 Ilene Parkway, ,Mesquite,TX,75185
227,227,3.00E+13,diners-club-carte-blanche,1,2025,45 Leroy Street, ,Honolulu,HI,96810
228,228,3.54E+15,jcb,9,2023,5217 Golf View Pass, ,San Antonio,TX,78230
229,229,5.10E+15,mastercard,4,2020,79730 Sheridan Street, ,Shawnee Mission,KS,66225
230,230,5.60E+15,china-unionpay,9,2026,91 5th Avenue, ,Honolulu,HI,96850
231,231,3.54E+15,jcb,11,2025,51 Anniversary Pass, ,Bradenton,FL,34205
232,232,3.56E+15,jcb,8,2021,57 Hollow Ridge Plaza, ,Utica,NY,13505
233,233,5.61E+15,bankcard,9,2021,824 John Wall Junction, ,Washington,DC,20268
234,234,5.01E+15,mastercard,10,2025,730 Amoth Drive, ,Olympia,WA,98506
235,235,3.54E+15,jcb,9,2026,000 Ryan Street, ,San Francisco,CA,94169
236,236,5.54E+15,diners-club-us-ca,5,2024,224 Mccormick Park, ,Aurora,CO,80044
237,237,6.30E+15,maestro,6,2020,7368 Emmet Plaza, ,Louisville,KY,40287
238,238,3.54E+15,jcb,1,2025,72 Dapin Crossing, ,Austin,TX,78759
239,239,3.57E+15,jcb,8,2025,98295 Steensland Court, ,Buffalo,NY,14269
240,240,3.02E+13,diners-club-carte-blanche,12,2026,3600 Myrtle Junction, ,Indianapolis,IN,46278
241,241,5.43E+15,mastercard,2,2021,72696 Hermina Circle, ,Chicago,IL,60619
242,242,3.53E+15,jcb,11,2025,3 Eagan Junction, ,North Hollywood,CA,91616
243,243,6.30E+18,laser,10,2027,3 Manley Court, ,San Diego,CA,92145
244,244,5.57E+15,mastercard,10,2030,8 Vahlen Plaza, ,Boise,ID,83757
245,245,5.60E+15,bankcard,12,2024,5645 Daystar Trail, ,Lynchburg,VA,24515
246,246,6.33E+18,switch,8,2020,70 Arkansas Way, ,Akron,OH,44305
247,247,6.38E+15,instapayment,8,2021,82046 Bunting Road, ,Syracuse,NY,13224
248,248,5.61E+16,china-unionpay,8,2027,69 Mitchell Crossing, ,Washington,DC,20260
249,249,5.10E+15,mastercard,10,2025,012 Redwing Plaza, ,San Bernardino,CA,92424
250,250,3.53E+15,jcb,2,2023,74999 Mifflin Place, ,Washington,DC,20022
251,251,2.02E+14,diners-club-enroute,11,2024,799 Larry Circle, ,Independence,MO,64054
252,252,5.05E+15,mastercard,12,2020,0586 Norway Maple Place, ,Lubbock,TX,79491
253,253,3.53E+15,jcb,10,2023,7 Burrows Point, ,Greensboro,NC,27455
254,254,3.54E+15,jcb,4,2028,6763 Kedzie Circle, ,Dayton,OH,45419
255,255,3.54E+15,jcb,10,2029,78954 Morning Court, ,Dallas,TX,75277
256,256,6.05E+16,maestro,9,2020,1438 Del Mar Trail, ,Phoenix,AZ,85040
257,257,5.10E+15,mastercard,6,2030,36 Stone Corner Avenue, ,Levittown,PA,19058
258,258,3.38E+14,americanexpress,1,2030,4229 Steensland Circle, ,Charlotte,NC,28205
259,259,3.58E+15,jcb,5,2020,070 Commercial Plaza, ,Kansas City,MO,64187
260,260,3.59E+15,jcb,7,2022,7 Paget Street, ,Washington,DC,20525
261,261,5.60E+15,bankcard,10,2028,9 Lakewood Gardens Plaza, ,Amarillo,TX,79188
262,262,5.60E+15,bankcard,3,2029,37144 Mariners Cove Point, ,Sacramento,CA,94286
263,263,6.33E+18,switch,2,2027,2560 Redwing Street, ,Suffolk,VA,23436
264,264,3.54E+15,jcb,8,2030,38 Chinook Street, ,Boise,ID,83716
265,265,2.02E+14,diners-club-enroute,4,2029,12072 Ramsey Terrace, ,Santa Cruz,CA,95064
266,266,3.57E+15,jcb,12,2027,52380 Leroy Plaza, ,El Paso,TX,88541
267,267,3.58E+15,jcb,8,2026,5 Brown Junction, ,Austin,TX,78749
268,268,3.06E+13,diners-club-carte-blanche,1,2020,42660 Aberg Drive, ,Shawnee Mission,KS,66215
269,269,6.76E+16,maestro,9,2020,6989 Melrose Park, ,Atlanta,GA,31136
270,270,5.02E+16,maestro,1,2024,85 Merchant Center, ,Canton,OH,44760
271,271,3.53E+15,jcb,2,2030,15 Bobwhite Trail, ,Saint Petersburg,FL,33705
272,272,2.02E+14,diners-club-enroute,3,2024,421 Atwood Junction, ,Annapolis,MD,21405
273,273,5.60E+15,bankcard,12,2025,79139 Gulseth Plaza, ,Chicago,IL,60624
274,274,5.00E+15,mastercard,6,2025,6 Brickson Park Road, ,Las Vegas,NV,89193
275,275,3.56E+15,jcb,3,2027,07906 Moulton Alley, ,Fort Pierce,FL,34981
276,276,2.02E+14,diners-club-enroute,5,2022,30515 Westend Road, ,Santa Cruz,CA,95064
277,277,3.57E+15,jcb,11,2025,90 Arkansas Hill, ,Tucson,AZ,85715
278,278,3.58E+15,jcb,4,2028,97029 Sheridan Plaza, ,Lancaster,CA,93584
279,279,3.38E+14,americanexpress,7,2029,8371 Jana Parkway, ,Jackson,MS,39204
280,280,3.55E+15,jcb,11,2028,003 Acker Way, ,Phoenix,AZ,85010
281,281,2.02E+14,diners-club-enroute,8,2030,7 Macpherson Hill, ,Denver,CO,80209
282,282,3.55E+15,jcb,11,2026,7641 Fuller Crossing, ,Shawnee Mission,KS,66286
283,283,5.60E+15,bankcard,11,2028,65796 Drewry Place, ,Raleigh,NC,27658
284,284,6.33E+17,solo,10,2025,50 Continental Point, ,Houston,TX,77260
285,285,3.58E+15,jcb,9,2020,49944 American Ash Point, ,Huntsville,AL,35810
286,286,3.58E+15,jcb,6,2029,7200 Judy Way, ,Erie,PA,16534
287,287,3.57E+15,jcb,6,2022,316 Dakota Way, ,Duluth,MN,55805
288,288,6.71E+17,laser,2,2030,8 Lakewood Gardens Hill, ,Visalia,CA,93291
289,289,3.50E+14,americanexpress,3,2030,9009 Mcguire Alley, ,Santa Monica,CA,90405
290,290,3.03E+13,diners-club-carte-blanche,12,2027,957 Basil Lane, ,Knoxville,TN,37939
291,291,4.51E+15,visa-electron,5,2030,3 Schmedeman Hill, ,Rochester,NY,14639
292,292,3.57E+15,jcb,2,2026,9303 Sommers Parkway, ,Lynchburg,VA,24515
293,293,4.52E+15,visa,4,2025,6 Golf Course Lane, ,Maple Plain,MN,55572
294,294,3.54E+15,jcb,9,2023,153 American Ash Court, ,Kalamazoo,MI,49048
295,295,5.60E+17,china-unionpay,12,2021,3 Village Trail, ,Santa Monica,CA,90410
296,296,4.41E+15,visa-electron,3,2030,67478 Elgar Hill, ,Cleveland,OH,44185
297,297,6.71E+18,laser,1,2024,23189 Luster Circle, ,San Antonio,TX,78240
298,298,3.54E+15,jcb,12,2023,74269 Westerfield Trail, ,Columbus,OH,43204
299,299,3.06E+13,diners-club-carte-blanche,12,2027,3271 Duke Plaza, ,Houston,TX,77020
300,300,2.02E+14,diners-club-enroute,7,2020,465 Riverside Trail, ,Sacramento,CA,94297
301,301,6.33E+18,switch,10,2021,2953 Namekagon Street, ,Houston,TX,77260
302,302,3.58E+15,jcb,3,2021,3502 Everett Trail, ,Virginia Beach,VA,23471
303,303,3.58E+15,jcb,8,2030,77783 Kennedy Way, ,Largo,FL,33777
304,304,5.01E+15,mastercard,9,2023,834 Hansons Plaza, ,Rockville,MD,20851
305,305,5.60E+15,bankcard,11,2029,7 Manley Crossing, ,Oklahoma City,OK,73114
